Solucao;CustoTotal;TempoTotal;NumAtracoes;NumBairros;HoraInicio;HoraFim;Bairros;Sequencia;TemposChegada;TemposPartida;ModosTransporte
39;39.26;692.00;7;3;09:00;20:32;Centro|Santa Teresa|Saude|;Pedra do Sal|Real Gabinete Portugues Da Leitura|Parque das Ruinas|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Igreja de Sao Francisco da Penitência|Centro Cultural Banco do Brasil|;09:00|10:02|12:06|13:11|14:15|15:21|17:32|;10:00|12:02|13:06|14:11|15:15|17:21|20:32|;Car|Car|Car|Walk|Walk|Walk|
40;60.82;690.00;7;3;09:00;20:30;Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Pedra do Sal|Real Gabinete Portugues Da Leitura|Parque das Ruinas|Igreja de Sao Francisco da Penitência|Centro Cultural Banco do Brasil|;09:00|10:04|11:08|12:10|14:14|15:19|17:30|;10:00|11:04|12:08|14:10|15:14|17:19|20:30|;Walk|Car|Car|Car|Car|Walk|
41;13.00;581.00;6;3;09:00;18:41;Centro|Saude|Santa Teresa|;Parque das Ruinas|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Igreja de Sao Francisco da Penitência|Centro Cultural Banco do Brasil|Pedra do Sal|;09:00|10:05|11:09|12:15|14:26|17:41|;10:00|11:05|12:09|14:15|17:26|18:41|;Car|Walk|Walk|Walk|Walk|
42;21.62;577.00;6;3;09:00;18:37;Centro|Saude|Santa Teresa|;Parque das Ruinas|Catedral Metropolitana de São Sebastião|Igreja de Sao Francisco da Penitência|Bondinho de Santa Teresa|Centro Cultural Banco do Brasil|Pedra do Sal|;09:00|10:05|11:14|13:20|14:22|17:37|;10:00|11:05|13:14|14:20|17:22|18:37|;Car|Walk|Walk|Car|Walk|
43;23.90;559.00;6;3;09:00;18:19;Centro|Santa Teresa|Saude|;Pedra do Sal|Real Gabinete Portugues Da Leitura|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Santa Teresa|Parque das Ruinas|;09:00|10:02|12:11|13:15|14:19|17:19|;10:00|12:02|13:11|14:15|17:19|18:19|;Car|Walk|Walk|Car|Walk|
44;30.53;502.00;6;3;09:00;17:22;Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Igreja de Sao Francisco da Penitência|Real Gabinete Portugues Da Leitura|Parque das Ruinas|;09:00|10:03|11:07|12:13|14:18|16:22|;10:00|11:03|12:07|14:13|16:18|17:22|;Car|Walk|Walk|Walk|Car|
45;39.41;500.00;6;3;09:00;17:20;Centro|Santa Teresa|Saude|;Pedra do Sal|Igreja de Sao Francisco da Penitência|Real Gabinete Portugues Da Leitura|Parque das Ruinas|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|;09:00|10:02|12:07|14:11|15:16|16:20|;10:00|12:02|14:07|15:11|16:16|17:20|;Car|Walk|Car|Car|Walk|
46;0.00;516.00;5;3;09:00;17:36;Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Igreja de Sao Francisco da Penitência|Centro Cultural Banco do Brasil|Pedra do Sal|;09:00|10:04|11:10|13:21|16:36|;10:00|11:04|13:10|16:21|17:36|;Walk|Walk|Walk|Walk|
47;8.63;510.00;5;3;09:00;17:30;Saude|Santa Teresa|Centro|;Igreja de Sao Francisco da Penitência|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Centro Cultural Banco do Brasil|Pedra do Sal|;09:00|11:09|12:13|13:15|16:30|;11:00|12:09|13:13|16:15|17:30|;Walk|Walk|Car|Walk|
48;12.07;439.00;5;3;09:00;16:19;Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Igreja de Sao Francisco da Penitência|Real Gabinete Portugues Da Leitura|Pedra do Sal|;09:00|10:04|11:10|13:15|15:19|;10:00|11:04|13:10|15:15|16:19|;Walk|Walk|Walk|Car|
