;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanha;AquaRio;Escadaria Selaron;Forte Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gavea;Pedra do Telegrafo;Prainha;Morro Dois Irmaos;Mosteiro De Sao Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Portugues Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalem;Bondinho de Santa Teresa;Ilha Da Gigoia;Pedra do Sal;Catedral Metropolitana de São Sebastião;Vista Chinesa;Museu Historico Nacional;Igreja de Sao Francisco da Penitência;Parque das Ruinas;Museu de Arte do Rio;Mureta da Urca;Quinta Da Boa Vista;Feira de Sao Cristovao;Biblioteca Nacional
Cristo Redentor;0;82;119;69;135;149;319;168;174;172;140;142;139;349;235;609;499;395;171;64;148;220;156;536;193;232;239;155;259;165;152;133;157;158;139;170;164;151;159;150
Jardim Botanico;82;0;48;29;63;174;249;137;153;157;113;70;122;280;214;540;430;362;152;104;123;227;131;467;162;161;273;126;199;150;126;70;136;130;122;152;92;179;186;125
Praia de Ipanema;119;48;0;66;17;197;234;159;175;180;135;25;145;265;215;524;415;347;174;141;145;267;153;451;164;146;296;147;184;172;148;115;158;152;145;174;107;202;209;147
Parque Lage;69;29;66;0;82;174;269;136;152;156;113;85;121;299;249;558;449;381;151;95;122;250;131;486;199;181;273;125;218;149;125;99;135;129;121;151;91;178;185;124
Praia do Arpoador;135;63;17;82;0;184;251;147;162;167;123;10;132;281;231;540;431;363;161;164;133;283;141;468;181;162;283;135;200;159;135;131;145;139;132;161;95;189;196;134
Maracana;149;174;197;174;184;0;292;69;74;56;67;187;74;317;200;582;472;276;81;117;72;126;63;509;158;234;89;68;223;66;65;196;81;67;74;71;160;19;32;75
Praia da Barra da Tijuca;319;249;234;269;251;292;0;344;363;345;346;259;353;30;151;289;180;141;369;335;353;214;333;217;174;113;295;336;85;340;334;250;366;335;353;359;332;308;321;354
Centro Cultural Banco do Brasil;168;137;159;136;147;69;344;0;13;24;26;139;39;382;260;651;541;345;16;135;14;195;12;578;218;288;157;16;284;15;21;207;13;11;39;12;113;64;68;12
Museu do Amanha;174;153;175;152;162;74;363;13;0;17;36;155;44;388;265;655;545;349;16;141;25;199;20;582;223;304;150;29;289;9;29;223;25;23;44;4;128;59;60;23
AquaRio;172;157;180;156;167;56;345;24;17;0;41;160;49;370;249;636;526;330;29;140;36;182;25;564;207;284;132;36;273;11;35;227;36;30;49;14;133;41;41;35
Escadaria Selaron;140;113;135;113;123;67;346;26;36;41;0;116;9;378;252;649;539;343;37;105;12;192;17;576;210;265;157;11;276;33;10;183;24;14;9;35;89;63;70;15
Forte Copacabana;142;70;25;85;10;187;259;139;155;160;116;0;125;290;240;550;440;372;154;158;126;303;134;477;189;171;276;128;209;152;128;137;138;132;125;154;86;182;189;127
Santa Teresa;139;122;145;121;132;74;353;39;44;49;9;125;0;384;258;655;545;349;46;106;24;199;26;582;216;274;163;21;282;41;18;192;34;24;0;43;98;69;76;25
Praia da Reserva;349;280;265;299;281;317;30;382;388;370;378;290;384;0;181;266;156;163;394;366;382;238;374;193;204;143;319;378;116;378;375;281;394;378;384;384;362;333;346;385
Pedra da Gavea;235;214;215;249;231;200;151;260;265;249;252;240;258;181;0;441;331;232;271;251;257;161;249;369;46;85;262;252;91;256;250;144;270;251;258;262;312;212;225;257
Pedra do Telegrafo;609;540;524;558;540;582;289;651;655;636;649;550;655;266;441;0;109;333;662;626;655;475;644;72;464;403;520;650;375;645;648;540;663;649;655;651;621;600;597;657
Prainha;499;430;415;449;431;472;180;541;545;526;539;440;545;156;331;109;0;223;552;516;545;365;534;36;354;293;411;540;266;535;538;431;553;539;545;541;512;490;487;547
Morro Dois Irmaos;395;362;347;381;363;276;141;345;349;330;343;372;349;163;232;333;223;0;356;393;349;190;338;260;270;216;214;345;182;339;342;327;357;343;349;345;435;294;291;351
Mosteiro De Sao Bento;171;152;174;151;161;81;369;16;16;29;37;154;46;394;271;662;552;356;0;138;23;206;24;590;229;303;162;27;295;21;29;221;18;25;46;17;130;71;71;21
Mirante Dona Marta;64;104;141;95;164;117;335;135;141;140;105;158;106;366;251;626;516;393;138;0;115;236;123;553;209;254;207;123;275;132;120;155;123;126;107;138;131;118;126;116
Theatro Municipal do Rio de Janeiro;148;123;145;122;133;72;353;14;25;36;12;126;24;382;257;655;545;349;23;115;0;198;12;582;215;274;162;5;280;28;9;193;16;6;24;24;99;69;74;2
Parque Nacional da Tijuca;220;227;267;250;283;126;214;195;199;182;192;303;199;238;161;475;365;190;206;236;198;0;187;402;119;210;148;194;188;190;191;157;206;192;199;197;299;145;158;201
Real Gabinete Portugues Da Leitura;156;131;153;131;141;63;333;12;20;25;17;134;26;374;249;644;534;338;24;123;12;187;0;571;207;282;151;10;273;18;9;201;22;5;26;20;107;57;62;12
Praia do Grumari;536;467;451;486;468;509;217;578;582;564;576;477;582;193;369;72;36;260;590;553;582;402;571;0;391;330;448;578;302;572;575;467;590;576;582;578;549;527;524;585
Pedra Bonita;193;162;164;199;181;158;174;218;223;207;210;189;216;204;46;464;354;270;229;209;215;119;207;391;0;97;220;210;133;214;208;91;228;209;216;220;262;170;183;215
Praia Da Joatinga;232;161;146;181;162;234;113;288;304;284;265;171;274;143;85;403;293;216;303;254;274;210;282;330;97;0;302;277;53;299;277;175;287;281;274;302;243;247;260;276
Centro Cultural Jerusalem;239;273;296;273;283;89;295;157;150;132;157;276;163;319;262;520;411;214;162;207;162;148;151;448;220;302;0;158;267;141;155;258;169;156;163;147;249;93;93;166
Bondinho de Santa Teresa;155;126;147;125;135;68;336;16;29;36;11;128;21;378;252;650;540;345;27;123;5;194;10;578;210;277;158;0;276;29;4;195;19;6;21;29;101;65;69;5
Ilha Da Gigoia;259;199;184;218;200;223;85;284;289;273;276;209;282;116;91;375;266;182;295;275;280;188;273;302;133;53;267;276;0;280;273;190;294;275;282;286;281;236;249;281
Pedra do Sal;165;150;172;149;159;66;340;15;9;11;33;152;41;378;256;645;535;339;21;132;28;190;18;572;214;299;141;29;280;0;27;220;27;23;42;6;126;49;50;25
Catedral Metropolitana de São Sebastião;152;126;148;125;135;65;334;21;29;35;10;128;18;375;250;648;538;342;29;120;9;191;9;575;208;277;155;4;273;27;0;196;25;9;18;28;102;62;67;10
Vista Chinesa;133;70;115;99;131;196;250;207;223;227;183;137;192;281;144;540;431;327;221;155;193;157;201;467;91;175;258;195;190;220;196;0;205;199;192;222;161;208;221;195
Museu Historico Nacional;157;136;158;135;145;81;366;13;25;36;24;138;34;394;270;663;553;357;18;123;16;206;22;590;228;287;169;19;294;27;25;205;0;18;34;24;114;76;77;9
Igreja de Sao Francisco da Penitência;158;130;152;129;139;67;335;11;23;30;14;132;24;378;251;649;539;343;25;126;6;192;5;576;209;281;156;6;275;23;9;199;18;0;24;22;105;62;66;6
Parque das Ruinas;139;122;145;121;132;74;353;39;44;49;9;125;0;384;258;655;545;349;46;107;24;199;26;582;216;274;163;21;282;42;18;192;34;24;0;43;98;69;76;25
Museu de Arte do Rio;170;152;174;151;161;71;359;12;4;14;35;154;43;384;262;651;541;345;17;138;24;197;20;578;220;302;147;29;286;6;28;222;24;22;43;0;127;55;56;22
Mureta da Urca;164;92;107;91;95;160;332;113;128;133;89;86;98;362;312;621;512;435;130;131;99;299;107;549;262;243;249;101;281;126;102;161;114;105;98;127;0;155;162;100
Quinta Da Boa Vista;151;179;202;178;189;19;308;64;59;41;63;182;69;333;212;600;490;294;71;118;69;145;57;527;170;247;93;65;236;49;62;208;76;62;69;55;155;0;16;71
Feira de Sao Cristovao;159;186;209;185;196;32;321;68;60;41;70;189;76;346;225;597;487;291;71;126;74;158;62;524;183;260;93;69;249;50;67;221;77;66;76;56;162;16;0;74
Biblioteca Nacional;150;125;147;124;134;75;354;12;23;35;15;127;25;385;257;657;547;351;21;116;2;201;12;585;215;276;166;5;281;25;10;195;9;6;25;22;100;71;74;0
