;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanha;AquaRio;Escadaria Selaron;Forte Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gavea;Pedra do Telegrafo;Prainha;Morro Dois Irmaos;Mosteiro De Sao Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Portugues Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalem;Bondinho de Santa Teresa;Ilha Da Gigoia;Pedra do Sal;Catedral Metropolitana de São Sebastião;Vista Chinesa;Museu Historico Nacional;Igreja de Sao Francisco da Penitência;Parque das Ruinas;Museu de Arte do Rio;Mureta da Urca;Quinta Da Boa Vista;Feira de Sao Cristovao;Biblioteca Nacional
Parque Nacional da Tijuca;15247;15749;19527;17113;20874;8693;16388;14499;14869;13495;14359;22675;14773;19006;11295;37537;29366;14421;17157;16461;14808;0;13950;32055;8466;16163;10495;14467;14608;14196;14215;10640;15509;14316;14778;14697;22944;10285;11410;15056
Real Gabinete Portugues Da Leitura;11346;10838;12733;10398;11679;5386;27276;1103;1692;2204;1416;11077;2134;31413;19380;53383;45211;28615;3780;9099;1040;13950;0;47900;16551;22370;12948;846;22147;1573;782;15889;1888;455;2139;1642;8833;4927;5309;1003
Praia do Grumari;42046;37559;36253;38830;37590;42641;17930;48449;48809;47302;48367;38286;48782;16022;29843;5463;2689;21387;51175;43260;48795;32055;47900;0;32300;27435;37503;48455;24907;48011;48202;37122;49459;48266;48787;48504;44398;44147;43955;49006
Pedra Bonita;13395;11209;12233;14809;13569;12408;14367;17479;17838;16636;16849;14266;17264;17315;2863;37782;29611;21591;20128;14609;17145;8466;16551;32300;0;7123;17643;16805;10492;17167;16552;6100;18364;16722;17268;17609;20377;13426;14551;17189
Praia Da Joatinga;17438;12359;11054;13630;12388;18757;9502;22801;24127;22985;20898;13085;21541;12449;5879;32907;24746;18299;25900;18938;21640;16163;22370;27435;7123;0;24171;21858;4038;24036;21896;12207;22924;22262;21544;24269;19196;19775;20900;21806
Centro Cultural Jerusalem;18586;22982;24878;22543;23824;7559;25003;13355;12821;11314;13399;23218;13814;27621;20472;42985;34813;18217;15501;16339;13843;10495;12948;37503;17643;24171;0;13502;21454;12024;13250;19816;14322;13314;13818;12516;20974;7875;7908;14170
Bondinho de Santa Teresa;11228;10324;12220;9885;11166;5761;27530;1322;2407;3098;937;10563;1721;31731;19634;53937;45766;29169;3986;8982;441;14467;846;48455;16805;21858;13502;0;22400;2466;384;15376;1543;599;1725;2356;8316;5591;5973;451
Ilha Da Gigoia;18991;15013;13708;16285;15043;18004;6984;23075;23434;22232;22445;15739;22859;9931;6446;30389;22218;15630;25724;20205;22741;14608;22147;24907;10492;4038;21454;22400;0;22763;22148;14067;23960;22318;22864;23205;21852;19022;20147;22785
Pedra do Sal;12286;12401;14297;11962;13243;5631;27892;1276;820;1003;2826;12640;3443;31807;19996;53493;45322;28726;3519;10040;2259;14196;1573;48011;17167;24036;12024;2466;22763;0;2316;17453;2253;1952;3448;501;10397;4260;4267;2065
Catedral Metropolitana de São Sebastião;10942;10363;12259;9923;11204;5508;27277;1719;2342;2947;835;10602;1445;31485;19381;53685;45513;28917;4111;8695;724;14215;782;48202;16552;21896;13250;384;22148;2316;0;15414;2089;754;1449;2292;8355;5339;5721;768
Vista Chinesa;9040;5165;8847;7239;10163;14582;19189;16321;17647;18082;14414;10727;15059;22136;9980;42604;34433;25166;19419;10540;15157;10640;15889;37122;6100;12207;19816;15376;14067;17453;15414;0;16438;15780;15060;17596;12714;15600;16725;15320
Museu Historico Nacional;11766;11391;13286;10951;12233;6953;29825;1112;2051;3052;2011;11630;2761;33121;21193;54941;46770;30182;3324;9406;1268;15509;1888;49459;18364;22924;14322;1543;23960;2253;2089;16438;0;1529;2766;1955;9536;6494;6565;807
Igreja de Sao Francisco da Penitência;11518;10729;12625;10289;11570;5752;27447;960;1892;2583;1215;10967;2014;31733;19551;53749;45577;28981;3858;9271;481;14316;455;48266;16722;22262;13314;599;22318;1952;754;15780;1529;0;2019;1766;8724;5293;5675;517
Parque das Ruinas;9929;10013;11908;9573;10854;6225;28607;3203;3638;4079;701;10251;4;32194;20097;54269;46098;29501;5461;7682;1908;14778;2139;48787;17268;21544;13818;1725;22864;3448;1449;15060;2766;2019;0;3587;8004;5828;6387;2026
Museu de Arte do Rio;12728;12545;14440;12105;13386;6073;29630;977;375;1201;2969;12783;3582;32240;20438;53987;45815;29219;3153;10481;1915;14697;1642;48504;17609;24269;12516;2356;23205;501;2292;17596;1955;1766;3587;0;10540;4753;4759;1767
Mureta da Urca;12353;7664;8871;7224;7815;13380;26464;9261;10591;11028;7358;7219;8000;29411;24344;49859;41708;36657;12513;9991;8098;22944;8833;44398;20377;19196;20974;8316;21852;10397;8355;12714;9536;8724;8004;10540;0;12983;13543;8264
Quinta Da Boa Vista;11220;14992;16887;14552;15833;1661;25305;5484;5058;3551;5409;15228;5823;27922;16255;49629;41458;24862;7787;8974;5932;10285;4927;44147;13426;19775;7875;5591;19022;4260;5339;15600;6494;5293;5828;4753;12983;0;1412;6033
Feira de Sao Cristovao;11882;15551;17447;15111;16392;2785;26429;5813;5064;3558;5968;15786;6382;29047;17380;49437;41266;24670;7744;9635;6314;11410;5309;43955;14551;20900;7908;5973;20147;4267;5721;16725;6565;5675;6387;4759;13543;1412;0;6362
Biblioteca Nacional;11156;10273;12168;9833;11114;6332;28703;1034;1869;3021;1261;10511;2021;32309;20018;54488;46317;29721;3533;8796;205;15056;1003;49006;17189;21806;14170;451;22785;2065;768;15320;807;517;2026;1767;8264;6033;6362;0
