;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanha;AquaRio;Escadaria Selaron;Forte Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gavea;Pedra do Telegrafo;Prainha;Morro Dois Irmaos;Mosteiro De Sao Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Portugues Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalem;Bondinho de Santa Teresa;Ilha Da Gigoia;Pedra do Sal;Catedral Metropolitana de São Sebastião;Vista Chinesa;Museu Historico Nacional;Igreja de Sao Francisco da Penitência;Parque das Ruinas;Museu de Arte do Rio;Mureta da Urca;Quinta Da Boa Vista;Feira de Sao Cristovao;Biblioteca Nacional
Parque Nacional da Tijuca;16967;21771;21969;23642;23301;17478;21327;23014;23134;22476;21681;23986;22301;23320;14995;45781;36519;31132;27216;17632;22447;0;22510;39301;9702;16170;24519;21972;12979;23369;21413;11789;22932;21894;22306;23401;28546;18919;20188;22408
Real Gabinete Portugues Da Leitura;12330;12016;14181;10544;12509;7250;34053;1479;2105;3441;1666;12221;2587;36046;21128;55133;45871;31754;11640;8948;1451;18964;0;48653;18213;23042;13852;1760;25511;2011;1201;17179;1936;516;2592;1778;10172;5266;6536;1411
Praia do Grumari;48148;37881;38080;38452;39411;42149;20994;49726;49362;47568;47735;40097;48355;15120;32812;6480;2772;22286;49612;44766;49698;40121;48738;0;34984;30105;36966;48026;30315;48461;47467;39762;51177;48764;48360;48493;44664;44870;45017;49659
Pedra Bonita;13793;13081;13280;13652;14612;14304;16694;19839;19960;19302;18507;15297;19127;18687;6305;41129;31867;26481;24042;19966;19273;8588;19335;34649;0;7101;21345;18798;8221;20195;18239;6067;19758;18720;19132;20227;19864;15745;17014;19233
Praia Da Joatinga;22257;11990;12189;12561;13521;22718;10898;23836;23471;22647;21844;14206;22464;12891;4415;35351;26089;20703;27387;18875;23808;14889;22847;28871;7092;0;27582;22135;5082;23539;21576;14529;24293;22873;22469;23572;18773;21477;21956;23768
Centro Cultural Jerusalem;20584;18110;20811;16638;22143;7955;21444;15313;14931;12221;13966;20725;14586;23437;27222;44833;35571;19145;14265;17202;15285;21193;14324;38353;20442;29136;0;14418;23719;13114;13860;23272;15830;14350;14591;13146;20977;8550;8090;15245
Bondinho de Santa Teresa;11966;10425;13786;9091;12114;8177;34995;1438;2065;3401;1279;11826;2199;36988;19537;58384;49122;32696;12581;8584;872;19763;1872;51903;19012;21451;14794;0;23920;3078;1614;15588;1357;1507;2204;2846;9777;6194;7463;832
Ilha Da Gigoia;24379;14112;14311;14683;15642;18365;8683;25957;25593;24768;23966;16328;24586;10676;9043;33136;23874;18488;29509;20997;25929;12650;24969;26656;9006;3526;25367;24257;0;25661;23698;12290;26415;24995;24591;25693;20895;23599;24078;25890
Pedra do Sal;13626;12323;15024;10851;13804;7557;32850;2774;2392;1256;2962;13517;3882;34843;21435;56239;46977;30552;10437;10244;2746;20231;1785;49759;19480;23348;12650;3055;25817;0;2497;17485;3231;1811;3887;743;11467;5573;6668;2707
Catedral Metropolitana de São Sebastião;12381;12512;14201;9506;12530;7746;35410;1853;2480;3816;1694;12242;2614;37403;21623;58799;49537;33111;12997;8999;1287;19342;2287;52319;18591;23537;15209;812;26006;3493;0;17674;1772;1923;2619;3261;10193;5762;7031;1247
Vista Chinesa;16680;5488;8790;6482;10121;17141;19931;18258;17894;17069;16267;10807;16887;21924;14724;44384;35122;29736;21809;13297;18230;10753;17269;37904;6222;16638;23398;16557;11583;17962;15999;0;18715;17295;16891;17994;13196;15899;16379;18191
Museu Historico Nacional;13696;12194;14611;10860;12940;8563;34739;1183;1809;3145;3085;12652;3705;36732;21306;58128;48866;32440;12326;10314;2410;21237;2426;51648;20486;23220;14538;3979;25689;2823;3420;17357;0;2452;3710;2590;10603;6579;8557;2370
Igreja de Sao Francisco da Penitência;12592;13108;14111;10360;12440;8343;34519;962;1589;2924;2300;12152;2920;36512;22220;57908;48646;32220;12105;9210;934;20079;2610;51427;19329;24134;14318;2121;26603;2602;1562;18271;1420;0;2925;2370;10103;6359;8336;895
Parque das Ruinas;10754;10040;14105;8705;12434;8729;28722;3260;3887;5223;980;12146;4;30715;19152;53157;43895;33233;13119;7372;2055;20315;3047;46677;19564;21066;15331;2724;23535;4900;2166;15202;2888;2682;0;4668;10097;6746;8015;2016
Museu de Arte do Rio;14006;12702;15403;11231;14184;7936;33230;2066;1634;1636;3342;13896;4262;35223;21814;56619;47357;30931;10817;10623;2105;20611;2165;50139;19860;23728;13029;3435;26197;439;2876;17865;2591;2191;4267;0;11847;5953;7048;2066
Mureta da Urca;13579;8120;10491;6785;8819;13896;26802;10143;10770;11122;9472;8531;10092;28794;17232;51237;41975;37829;17714;10196;9259;25121;10050;44757;18896;19146;19926;9762;21615;12015;9204;13282;10117;9685;10097;12047;0;11912;13181;9220
Quinta Da Boa Vista;13982;10660;13361;9188;14693;3142;29202;6742;6377;5627;6007;13275;6627;31195;19772;52591;43329;26904;10367;10600;6714;16315;5753;46111;15564;21686;8211;6459;24155;6519;5900;15822;7199;5779;6631;6552;13017;0;1698;6674
Feira de Sao Cristovao;19939;11622;14323;10150;15654;4454;30781;7232;6868;6117;6497;14236;7117;32774;20734;54170;44908;28483;9794;16556;7204;17627;6243;47690;16876;22647;8621;6949;25116;7010;6390;16784;7689;6269;7121;7042;13507;1566;0;7164
Biblioteca Nacional;12159;12680;13679;9927;12007;7914;34624;1068;1695;3030;1868;11719;2488;36617;21792;58013;48751;32326;12211;8777;502;19510;2177;51533;18760;23706;14424;1551;26175;2708;993;17842;987;1812;2492;2475;9670;5930;8442;0
