;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanha;AquaRio;Escadaria Selaron;Forte Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gavea;Pedra do Telegrafo;Prainha;Morro Dois Irmaos;Mosteiro De Sao Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Portugues Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalem;Bondinho de Santa Teresa;Ilha Da Gigoia;Pedra do Sal;Catedral Metropolitana de São Sebastião;Vista Chinesa;Museu Historico Nacional;Igreja de Sao Francisco da Penitência;Parque das Ruinas;Museu de Arte do Rio;Mureta da Urca;Quinta Da Boa Vista;Feira de Sao Cristovao;Biblioteca Nacional
Parque Nacional da Tijuca;15211;15749;19658;16453;20994;8706;16149;14504;14777;13536;14370;24053;14710;19037;11271;37243;29090;14421;15016;16425;14666;0;13951;31779;8473;17542;10497;14313;14812;14197;14053;10640;15483;14369;14714;14739;21707;10326;11452;15113
Real Gabinete Portugues Da Leitura;12164;10687;12742;10382;11562;5329;27388;1228;1696;2301;1315;10989;2115;30274;19469;53248;45095;28511;1935;9120;1015;13950;0;47784;16671;22038;13166;837;21919;1670;782;15737;1896;455;2119;1545;8645;4927;5310;1034
Praia do Grumari;42073;37705;36248;39000;37588;42757;17930;48570;48981;47474;48510;38284;48850;15065;30073;5463;2689;21400;49219;43287;48807;32332;48017;0;31087;27475;37618;48454;24923;48182;48194;37149;49549;48435;48855;48676;44586;44264;44073;49179
Pedra Bonita;13389;11203;12201;14953;13541;12402;15599;17427;17701;16630;16741;14237;17081;18485;3056;38978;30825;21851;17939;14603;17037;8460;16432;33514;0;7126;17637;16684;10144;17120;16424;6094;18157;16550;17085;17562;20538;13420;14546;17076
Praia Da Joatinga;18073;12476;11019;13771;12355;18726;9481;23100;24660;22954;21141;13051;21764;12366;7700;32860;24707;18419;24899;19288;21930;14784;22702;27396;7120;0;24233;22056;4025;24484;22225;12198;23121;22582;21766;24509;19352;19744;20870;22109
Centro Cultural Jerusalem;19295;22611;24665;22306;23486;7470;25085;13515;12823;11316;13224;22907;13564;27973;20447;42852;34699;18115;13062;16252;13521;10493;12730;37389;17649;24109;0;13167;21379;12025;12908;19816;14448;13149;13568;12518;20561;7877;8059;14124
Bondinho de Santa Teresa;11945;10309;12364;10004;11184;5683;27643;1351;2420;3383;937;10611;1781;30514;19724;53920;45767;29183;2659;8901;487;14622;855;48456;16926;21660;13838;0;22173;2752;377;15359;1762;726;1785;2269;8260;5599;5982;458
Ilha Da Gigoia;19333;15133;13677;16429;15013;18346;6976;23371;23645;22574;22685;15709;23025;9861;6649;30355;22202;15715;23883;20547;22982;14404;22376;24891;10840;4051;21529;22628;0;23064;22369;14409;24101;22494;23029;23506;22013;19364;20490;23020
Pedra do Sal;13249;12032;14087;11727;12907;5574;27932;1321;820;1003;2660;12333;3405;30817;20013;53304;45151;28568;1059;10206;2413;14196;1476;47840;17215;23589;12023;2181;22463;0;2126;17082;2274;1858;3410;501;9990;4259;4268;2132
Catedral Metropolitana de São Sebastião;11666;10217;12272;9912;11092;5437;27397;1763;2346;3138;830;10519;1502;30283;19478;53675;45522;28938;2585;8622;744;14377;782;48211;16680;21568;13593;391;21928;2507;0;15267;2544;807;1506;2195;8168;5354;5737;782
Vista Chinesa;8715;5165;8882;7288;10156;14582;19181;16440;18000;18452;14473;10740;15101;22066;11275;42559;34406;25433;18238;9929;15266;10640;16041;37095;6107;12216;19817;15393;13725;17824;15562;0;16450;15919;15098;17848;12689;15600;16726;15438
Museu Historico Nacional;12455;11377;13432;11072;12253;6931;29289;1138;2053;3032;2014;11679;2819;32174;21370;54833;46680;30114;2292;9415;1117;15535;1880;49369;18572;22728;14197;1325;23820;2233;1634;16427;0;1659;2824;1946;9635;6530;6442;807
Igreja de Sao Francisco da Penitência;12242;10592;12647;10287;11467;5643;27611;960;2073;2678;1220;10893;2094;30496;19692;53562;45409;28825;2312;9199;481;14264;455;48098;16894;21942;13480;473;22142;2047;701;15642;1400;0;2099;1922;8550;5241;5624;517
Parque das Ruinas;10653;9973;12028;9668;10848;6209;28168;3348;3662;4117;723;10274;4;31040;20249;54183;46030;29446;3900;7609;1888;14842;2159;48719;17451;21323;14069;1665;22699;3486;1393;15023;2708;1939;0;3510;7923;5862;6430;1977
Museu de Arte do Rio;13691;12295;14349;11989;13170;6023;28373;1011;375;1198;2923;12596;3660;31245;20454;53797;45644;29060;614;10647;2012;14656;1739;48333;17656;24030;12514;2444;22904;501;2389;17344;1964;1611;3664;0;10252;4751;4760;1822
Mureta da Urca;13053;7689;8954;7384;7783;13527;26295;9420;10980;11435;7461;7189;8081;29180;25560;49673;41521;36764;11218;10009;8246;24182;9021;44210;20216;19040;21387;8373;21691;10804;8542;12739;9438;8898;8085;10828;0;13180;13748;8426
Quinta Da Boa Vista;12025;14837;16891;14532;15712;1611;24136;5480;5060;3553;5450;15133;5790;27021;16231;49495;41342;24758;5299;8982;5938;10244;4928;44031;13432;19806;7874;5584;18680;4262;5325;15600;6459;5346;5794;4756;12787;0;1413;6089
Feira de Sao Cristovao;12686;15387;17442;15082;16262;2734;25259;5755;5064;3557;6001;15684;6340;28145;17354;49302;41149;24565;5302;9643;6318;11368;5309;43838;14556;20930;7757;5965;19804;4266;5705;16724;6689;5727;6345;4759;13338;1411;0;6365
Biblioteca Nacional;11834;10153;12207;9848;11028;6060;28020;1032;1817;2798;1246;10454;2070;30905;20101;54297;46145;29561;2056;8794;237;15000;972;48834;17303;21503;14216;444;22551;1999;754;15202;807;517;2075;1712;8103;5977;6359;0
